id_order,order_date,id_customer,id_branch
1,21/2/2023,322,50062-272467
2,7/2/2023,302,62970-297569
3,25/2/2023,292,26449-236807
4,10/2/2023,77,50101-272644
5,1/2/2023,335,31587-117324
6,22/2/2023,459,29994-256184
7,18/2/2023,39,13180-154211
8,18/2/2023,189,12984-155644
9,16/2/2023,57,54792-288504
10,17/2/2023,115,33717-30504
11,2/2/2023,183,20366-205085
12,6/2/2023,126,65471-299861
13,3/2/2023,496,54792-288504
14,14/2/2023,50,53532-285712
15,10/2/2023,35,21832-215326
16,19/2/2023,271,1473-136503
17,9/2/2023,234,53795-286015
18,19/2/2023,217,22393-220684
19,13/2/2023,28,33749-96437
20,10/2/2023,366,18782-188447
21,11/2/2023,70,53249-284046
22,25/2/2023,386,9198-152606
23,4/2/2023,43,57975-292126
24,6/2/2023,5,24264-236806
25,25/2/2023,147,13180-154211
26,27/2/2023,206,49285-267764
27,19/2/2023,35,33740-256334
28,25/2/2023,246,53397-285571
29,15/2/2023,58,57078-291087
30,11/2/2023,307,59595-293827
31,15/2/2023,416,50564-275104
32,14/2/2023,189,24264-236806
33,12/2/2023,485,27193-246870
34,9/2/2023,110,60020-294298
35,20/2/2023,204,1473-136503
36,27/2/2023,339,48285-262144
37,14/2/2023,130,17430-181871
38,15/2/2023,95,17430-181871
39,9/2/2023,272,18782-188447
40,16/2/2023,461,56493-290439
41,2/2/2023,87,33716-33481
42,10/2/2023,334,31879-121687
43,8/2/2023,9,49620-270144
44,14/2/2023,135,32546-136497
45,15/2/2023,94,21432-211884
46,19/2/2023,267,33728-152607
47,25/2/2023,380,55675-285763
48,4/2/2023,379,31556-115744
49,3/2/2023,158,58371-292546
50,27/2/2023,428,61303-295737
51,13/2/2023,331,52818-283107
52,18/2/2023,311,31627-114005
53,6/2/2023,414,33744-95479
54,2/2/2023,445,33707-256557
55,15/2/2023,258,52794-283109
56,27/2/2023,376,62894-297464
57,18/2/2023,496,51613-278946
58,16/2/2023,399,47713-259385
59,11/2/2023,262,33706-290534
60,16/2/2023,60,55683-289541
61,8/2/2023,48,1135-152684
62,14/2/2023,28,49376-268165
63,13/2/2023,32,32430-133730
64,12/2/2023,304,65471-299861
65,13/2/2023,285,33741-253264
66,2/2/2023,198,50094-272708
67,22/2/2023,309,48285-262144
68,12/2/2023,190,26451-230784
69,7/2/2023,211,31445-107044
70,20/2/2023,438,33759-97834
71,26/2/2023,464,53429-285589
72,25/2/2023,381,2037-136505
73,14/2/2023,18,51671-278945
74,6/2/2023,420,60453-294716
75,3/2/2023,454,31004-102326
76,17/2/2023,375,26228-243927
77,27/2/2023,300,33762-100218
78,4/2/2023,310,31587-117324
79,16/2/2023,236,57077-291086
80,6/2/2023,190,56487-290438
81,14/2/2023,65,33717-30504
82,22/2/2023,460,33750-296321
83,25/2/2023,414,66848-301496
84,3/2/2023,476,19175-188465
85,16/2/2023,54,50911-276527
86,27/2/2023,52,58485-292697
87,16/2/2023,484,30714-101101
88,15/2/2023,6,30942-103786
89,9/2/2023,308,53627-282789
90,1/2/2023,364,32183-131672
91,21/2/2023,16,25679-241664
92,22/2/2023,455,22328-202165
93,21/2/2023,136,58485-292697
94,21/2/2023,455,55683-289541
95,2/2/2023,67,26764-245184
96,15/2/2023,287,30797-100558
97,24/2/2023,460,54311-286586
98,25/2/2023,163,60170-294182
99,19/2/2023,442,16147-153305
100,25/2/2023,497,30797-100558
101,21/2/2023,89,21878-215724
102,2/2/2023,173,56961-290944
103,23/2/2023,50,28839-251146
104,22/2/2023,455,54589-286835
105,9/2/2023,53,66085-300541
106,3/2/2023,144,18711-194484
107,1/2/2023,66,33704-289295
108,26/2/2023,140,16387-163825
109,6/2/2023,52,54790-288505
110,3/2/2023,420,1959-143984
111,25/2/2023,260,33746-96051
112,12/2/2023,48,31556-115744
113,6/2/2023,400,33743-95068
114,26/2/2023,87,54790-288505
115,9/2/2023,378,18776-195209
116,10/2/2023,352,59557-293767
117,14/2/2023,82,21878-215724
118,4/2/2023,353,32431-134825
