id_order,order_date,id_customer,id_branch
7001,2/8/2023,195,49285-267764
7002,2/15/2023,17,57226-291279
7003,2/24/2023,51,58813-293078
7004,2/16/2023,145,33759-97834
7005,2/18/2023,302,54150-286388
7006,2/19/2023,8,57227-291278
7007,2/10/2023,411,25905-242705
7008,2/5/2023,263,60389-294635
7009,2/8/2023,349,23817-233151
7010,2/27/2023,498,22405-214064
7011,2/4/2023,415,16496-171973
7012,2/11/2023,473,62607-297105
7013,2/20/2023,185,57223-291275
7014,2/6/2023,176,21832-215326
7015,2/26/2023,429,57557-291686
7016,2/16/2023,475,51675-278965
7017,2/21/2023,106,15337-156229
7018,2/8/2023,227,17707-182486
7019,2/1/2023,382,53428-285588
7020,2/10/2023,96,65657-300136
7021,2/10/2023,30,16496-171973
7022,2/16/2023,317,56943-290943
7023,2/7/2023,410,15220-158906
7024,2/18/2023,438,16866-169626
7025,2/25/2023,67,56366-290242
7026,2/23/2023,361,56487-290438
7027,2/2/2023,113,33734-83811
7028,2/24/2023,430,50912-276628
7029,2/5/2023,363,32359-136499
7030,2/1/2023,33,26228-243927
7031,2/9/2023,267,52316-281066
7032,2/14/2023,245,19175-188465
7033,2/23/2023,335,33741-253264
7034,2/6/2023,54,59638-293877
7035,2/11/2023,72,33743-95068
7036,2/9/2023,470,58395-292576
7037,2/11/2023,477,57078-291087
7038,2/1/2023,336,33755-99308
7039,2/21/2023,296,25152-239944
7040,2/22/2023,20,31108-104468
7041,2/8/2023,85,52792-282946
7042,2/12/2023,174,62894-297464
7043,2/10/2023,473,28839-251146
7044,2/13/2023,214,24447-237864
7045,2/26/2023,265,54073-286316
7046,2/21/2023,421,54791-288503
7047,2/6/2023,245,60865-295235
7048,2/25/2023,225,55668-289580
7049,2/20/2023,271,33753-97640
7050,2/15/2023,30,23396-229764
7051,2/15/2023,161,24147-236047
7052,2/24/2023,295,20367-205084
7053,2/24/2023,214,19218-294354
7054,2/19/2023,435,25740-242173
7055,2/11/2023,98,54791-288503
7056,2/19/2023,477,20815-207466
7057,2/24/2023,285,33741-253264
7058,2/13/2023,64,54043-286297
7059,2/4/2023,337,33723-58139
