id_branch,id_ingredient,quantity
33713-146284,1,202
33713-146284,2,150
33713-146284,3,167
33713-146284,4,130
33713-146284,5,265
33713-146284,6,176
33713-146284,7,165
33713-146284,8,232
33713-146284,9,230
33713-146284,10,42
33713-146284,11,33
33713-146284,12,48
33713-146284,13,27
33713-146284,14,79
33713-146284,15,128
33713-146284,16,140
33713-146284,17,207
33713-146284,18,90
33713-146284,19,222
33713-146284,20,263
33713-146284,21,291
33713-146284,22,71
33713-146284,23,208
33713-146284,24,76
33713-146284,25,211
33713-146284,26,214
17430-181871,1,175
17430-181871,2,190
17430-181871,3,275
17430-181871,4,113
17430-181871,5,186
17430-181871,6,211
17430-181871,7,256
17430-181871,8,176
17430-181871,9,37
17430-181871,10,78
17430-181871,11,77
17430-181871,12,271
17430-181871,13,73
17430-181871,14,285
17430-181871,15,130
17430-181871,16,93
17430-181871,17,246
17430-181871,18,119
17430-181871,19,159
17430-181871,20,129
17430-181871,21,293
17430-181871,22,133
17430-181871,23,262
17430-181871,24,156
17430-181871,25,42
17430-181871,26,137
33734-83811,1,205
33734-83811,2,52
33734-83811,3,285
33734-83811,4,289
33734-83811,5,97
33734-83811,6,171
33734-83811,7,37
33734-83811,8,268
33734-83811,9,29
33734-83811,10,16
33734-83811,11,16
33734-83811,12,168
33734-83811,13,278
33734-83811,14,294
33734-83811,15,82
33734-83811,16,144
33734-83811,17,94
33734-83811,18,287
33734-83811,19,147
33734-83811,20,109
33734-83811,21,131
33734-83811,22,185
33734-83811,23,48
33734-83811,24,253
33734-83811,25,35
33734-83811,26,58
21813-215327,1,161
21813-215327,2,30
21813-215327,3,182
21813-215327,4,101
21813-215327,5,108
21813-215327,6,191
21813-215327,7,154
21813-215327,8,166
21813-215327,9,60
21813-215327,10,107
21813-215327,11,108
21813-215327,12,213
21813-215327,13,181
21813-215327,14,215
21813-215327,15,273
21813-215327,16,33
21813-215327,17,48
21813-215327,18,110
21813-215327,19,113
21813-215327,20,57
21813-215327,21,269
21813-215327,22,110
21813-215327,23,82
21813-215327,24,100
21813-215327,25,117
21813-215327,26,124
48161-259669,1,29
48161-259669,2,40
48161-259669,3,265
48161-259669,4,182
48161-259669,5,132
48161-259669,6,93
48161-259669,7,101
48161-259669,8,249
48161-259669,9,99
48161-259669,10,16
48161-259669,11,190
48161-259669,12,225
48161-259669,13,36
48161-259669,14,202
48161-259669,15,60
48161-259669,16,204
48161-259669,17,244
48161-259669,18,111
48161-259669,19,65
48161-259669,20,95
